title,genres
Pokemon Sun and Pokemon Moon Special Demo Version,"['Role-Playing', 'Trainer']"
Disney Magical World 2,"['Simulation', 'Virtual', 'Virtual Life']"
Paper Mario: Color Splash,"['Role-Playing', 'Japanese-Style']"
Yo-kai Watch 2: Bony Spirits,"['Role-Playing', 'Trainer']"
Yo-kai Watch 2: Fleshy Souls,"['Role-Playing', 'Trainer']"
Dragon Quest VII: Fragments of the Forgotten Past,"['Role-Playing', 'Japanese-Style']"
Picross 3D: Round 2,"['Puzzle', 'Logic']"
Hyrule Warriors Legends: Phantom Hourglass & Spirit Tracks Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Metroid Prime: Federation Force,"['Action', 'Shooter', 'First-Person', 'Arcade']"
Style Savvy: Fashion Forward,"['Simulation', 'Virtual', 'Career']"
Metroid Prime: Blast Ball,"['Action', 'Shooter', 'First-Person', 'Arcade']"
Pokemon GO,"['Role-Playing', 'Trainer']"
Teddy Together,"['Action', 'General']"
BoxBoxBoy!,"['Puzzle', 'Action']"
Hyrule Warriors Legends: Link's Awakening Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Tokyo Mirage Sessions #FE,"['General', 'Fantasy', 'Role-Playing', 'Strategy', 'Turn-Based', 'Japanese-Style', 'General']"
Mario & Sonic at the Rio 2016 Olympic Games,"['Sports', 'Individual', 'Athletics']"
Tokyo Mirage Sessions #FE - EXPedition Hunter,"['Role-Playing', 'Japanese-Style']"
Tokyo Mirage Sessions #FE - Masterful Hunter,"['Role-Playing', 'Japanese-Style']"
Tokyo Mirage Sessions #FE - Savage Hunter,"['Role-Playing', 'Japanese-Style']"
Tokyo Mirage Sessions #FE - Tokyo Millennium Collection,"['Role-Playing', 'Japanese-Style']"
Rhythm Heaven Megamix,"['Action', 'Rhythm', 'Music']"
Kirby: Planet Robobot,"['Action', 'Platformer', '2D']"
Team Kirby Clash,"['Action', 'Fighting', '2D']"
Hyrule Warriors Legends: Master Wind Waker Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Disney Art Academy,"['Miscellaneous', 'Edutainment', 'Application']"
Pocket Card Jockey,"['Miscellaneous', 'Board / Card Game']"
Star Fox Zero,"['Action', 'Third-Person', 'Shooter', 'Modern', 'Rail', 'Simulation', 'Space', 'Combat']"
Star Fox Guard,"['Action', 'First-Person', 'Sci-Fi', 'Shooter', 'Strategy', 'Real-Time', 'Defense']"
Star Fox Zero Double Pack,"['Miscellaneous', 'Compilation']"
Bravely Second: End Layer,"['Role-Playing', 'Japanese-Style']"
Miitomo,"['Simulation', 'Virtual', 'Virtual Life']"
My Nintendo Picross - The Legend of Zelda: Twilight Princess,"['Puzzle', 'Logic']"
Hyrule Warriors Legends,"['Action', ""Beat-'Em-Up"", '3D']"
Mini-Mario & Friends: amiibo Challenge,"['Puzzle', 'Action']"
Mini-Mario & Friends: amiibo Challenge,"['Puzzle', 'Action']"
Mario & Sonic at the Rio 2016 Olympic Games,"['Sports', 'Individual', 'Athletics']"
Pokken Tournament,"['Action', 'Fighting', '3D']"
Fire Emblem Fates: Revelation,"['Strategy', 'Turn-Based', 'Tactics']"
The Legend of Zelda: Twilight Princess HD,"['Action Adventure', 'General', 'Open-World']"
Fire Emblem Fates: Conquest,"['Fantasy', 'Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Fates: Birthright,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Fates: Special Edition,"['Strategy', 'Turn-Based', 'Tactics']"
Mario & Luigi: Paper Jam,"['Role-Playing', 'Japanese-Style']"
Xenoblade Chronicles X,"['Action RPG', 'Role-Playing', 'Action RPG']"
Pokemon Picross,"['Miscellaneous', 'General', 'Puzzle', 'Logic']"
Pokemon Super Mystery Dungeon,"['Role-Playing', 'Roguelike']"
Mario Tennis: Ultra Smash,"['Sports', 'Individual', 'Tennis']"
Animal Crossing: amiibo Festival,"['Miscellaneous', 'Board / Card Game']"
Nintendo Badge Arcade,"['Miscellaneous', 'General']"
Yo-kai Watch,"['Japanese-Style', 'Role-Playing', 'Trainer']"
The Legend of Zelda: Tri Force Heroes,"['Action Adventure', 'Open-World']"
Fatal Frame: Maiden of Black Water,"['Action', 'General', 'Horror', 'Action Adventure', 'Survival']"
Yoshi's Woolly World,"['Action Adventure', 'Platformer', '2D', 'Fantasy', 'Action', 'Platformer', '2D']"
Chibi-Robo! Zip Lash,"['Action', 'Platformer', '2D']"
Animal Crossing: Happy Home Designer,"['Simulation', 'Virtual', 'Career']"
Super Mario Maker,"['Action', 'Platformer', '2D']"
Pokemon Shuffle Mobile,"['Puzzle', 'Matching']"
Devil's Third,"['Action Adventure', 'General', 'Modern', 'Action', 'Shooter', 'Third-Person', 'Arcade']"
LBX: Little Battlers eXperience,"['Action', 'Role-Playing', 'General', 'Action RPG']"
Art Academy: Home Studio,"['Miscellaneous', 'Edutainment']"
Earthbound Beginnings,"['Role-Playing', 'Japanese-Style']"
Smash Controller,"['Miscellaneous', 'Application']"
Dr. Mario: Miracle Cure,"['Puzzle', 'Stacking']"
Splatoon,"['Fantasy', 'Action', 'Shooter', 'Third-Person', 'Arcade']"
Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,"['Miscellaneous', 'Compilation']"
Stretchmo,"['Puzzle', 'Action']"
amiibo Tap: Nintendo's Greatest Bits,"['Miscellaneous', 'Application']"
Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo,"['Action', 'Fighting', '2D']"
Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo,"['Action', 'Fighting', '2D']"
Mario Kart 8 DLC Pack 2,"['Driving', 'Kart', 'Racing', 'Arcade', 'Automobile']"
Xenoblade Chronicles 3D,"['Role-Playing', 'Action RPG']"
Pokemon Rumble World,"['Action', 'General', ""Beat-'Em-Up"", '3D']"
BOXBOY!,"['Puzzle', 'Action']"
Mario Party 10,"['Party', 'Miscellaneous', 'Party / Minigame']"
Fossil Fighters: Frontier,"['Role-Playing', 'General', 'Trainer']"
Code Name: S.T.E.A.M.,
Hyrule Warriors: Boss Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Mario vs. Donkey Kong: Tipping Stars,"['Puzzle', 'Action', 'Platformer', '2D']"
Mario vs. Donkey Kong: Tipping Stars,"['Puzzle', 'Action', 'Platformer', '2D']"
Kirby and the Rainbow Curse,"['Action', 'Platformer', '2D']"
Pokemon Shuffle,"['Puzzle', 'Matching']"
The Legend of Zelda: Majora's Mask 3D,"['Fantasy', 'Action Adventure', 'Open-World']"
Flipnote Studio 3D,"['Miscellaneous', 'General', 'General', 'Application']"
Hyrule Warriors: Majora's Mask Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Captain Toad: Treasure Tracker,"['Action', 'Platformer', '3D']"
NES Remix Pack,"['Miscellaneous', 'Compilation']"
Hyrule Warriors: Twilight Princess Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Super Smash Bros. for Wii U,"['Action', 'Fighting', 'Fighting', '3D', '2D', '2D', '3D']"
Pokemon Alpha Sapphire,"['Role-Playing', 'Console-style RPG', 'Japanese-Style', 'Trainer']"
Pokemon Omega Ruby,"['Role-Playing', 'Console-style RPG', 'Japanese-Style', 'Trainer']"
Pokemon Omega Ruby/Alpha Sapphire Double Pack,"['Role-Playing', 'Console-style RPG', 'Japanese-Style', 'Trainer']"
Mario Kart 8 DLC Pack 1,"['Driving', 'Racing', 'Arcade', 'Kart', 'Automobile']"
Ultimate NES Remix,"['Miscellaneous', 'General']"
Pokemon Art Academy,"['Miscellaneous', 'General', 'Edutainment']"
Bayonetta,"['Action', 'Fantasy', ""Beat-'Em-Up"", 'Action Adventure', 'Linear']"
Fantasy Life,"['Role-Playing', 'General']"
Bayonetta + Bayonetta 2,"['Miscellaneous', 'Compilation']"
Hyrule Warriors: Master Quest Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Super Smash Bros. for Nintendo 3DS,"['Fighting', '3D', '2D', 'Action', 'Fighting', '2D', '3D']"
Hyrule Warriors,"['Action', ""Beat-'Em-Up"", '3D']"
Bayonetta 2,"['Action Adventure', 'Fantasy', 'Fantasy', 'Linear']"
Professor Layton VS Phoenix Wright Ace Attorney,"['General', 'Puzzle', 'Miscellaneous', 'Puzzle', 'General']"
Dedede's Drum Dash Deluxe,"['Action', 'Miscellaneous', 'Rhythm', 'Music']"
Kirby Fighters Deluxe,"['Action', 'Fighting', '2D']"
The Mysterious Murasame Castle,"['Action', 'General']"
Pushmo World,"['Miscellaneous', 'Puzzle', 'Action', 'Logic']"
Inazuma Eleven Go: Shadow,"['Sports', 'Traditional', 'Soccer', 'Arcade']"
Inazuma Eleven Go: Light,"['Sports', 'Traditional', 'Soccer', 'Arcade']"
Tomodachi Life,"['Simulation', 'Miscellaneous', 'General', 'Virtual', 'Virtual Life']"
Mario Kart 8,"['Driving', 'Racing', 'Arcade', 'Kart', 'Kart', 'Automobile']"
Photos with Mario,"['Miscellaneous', 'General']"
Kirby: Triple Deluxe,"['General', 'General', 'Action', 'Platformer', '2D']"
Mario Golf: World Tour,"['Sports', 'Traditional', 'Individual', 'Golf', 'Arcade', 'Arcade']"
NES Remix 2,"['Miscellaneous', 'General']"
Nintendo Pocket Football Club,"['Sports', 'Traditional', 'Soccer', 'Arcade']"
Disney Magical World,"['Simulation', 'Miscellaneous', 'General', 'Virtual', 'Virtual Life']"
Rusty's Real Deal Baseball,"['Action', 'General']"
Pokemon Battle Trozei,"['Miscellaneous', 'Puzzle', 'Matching']"
Yoshi's New Island,"['Action', 'Platformer', '2D']"
Professor Layton and the Azran Legacy,"['General', 'Logic', 'Puzzle', 'Miscellaneous', 'Puzzle', 'General']"
Donkey Kong Country: Tropical Freeze,"['Platformer', '2D', 'Action', 'Platformer', '2D']"
Inazuma Eleven 3: Team Ogre Attacks!,"['Sports', 'Traditional', 'Soccer', 'Arcade']"
Steel Diver: Sub Wars,"['Simulation', 'Submarine', 'Marine', 'Combat']"
Bravely Default,"['Console-style RPG', 'Role-Playing', 'Console-style RPG', 'Japanese-Style']"
Poke Transporter,"['Miscellaneous', 'General', 'Application']"
Pokemon Bank,"['Miscellaneous', 'General']"
Chibi-Robo! Photo Finder,"['Action', 'Action Adventure', 'General', 'Fantasy']"
Dr. Luigi,"['Miscellaneous', 'Puzzle', 'Stacking']"
NES Remix,"['Miscellaneous', 'General']"
Nintendo 3DS Guide: Louvre,"['Miscellaneous', 'Edutainment', 'Edutainment']"
Mario Party: Island Tour,"['Party', 'Miscellaneous', 'Party', 'Party / Minigame']"
The Legend of Zelda: A Link Between Worlds,"['Action RPG', 'Role-Playing', 'Action Adventure', 'General', 'Action RPG', 'Open-World']"
Super Mario 3D World,"['Platformer', '3D', 'Action', 'Platformer', '3D']"
Mario & Sonic at the Sochi 2014 Olympic Winter Games,"['Sports', 'Olympic Sports', 'Olympic Sports', 'Individual', 'Athletics']"
Wii Sports Club,"['Sports', 'General', 'General']"
Wii Fit U,"['Sports', 'Miscellaneous', 'General', 'Exercise / Fitness']"
New Super Mario Bros. U + New Super Luigi U,"['Action', 'Platformer', '2D']"
